,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
18561,54.1,5873.0,621.0,43560.0,28890.0,2717.0,143.0,536.0,1134.0,ZCTA5 55731,55731
18562,54.0,1313.0,96.0,52050.0,29054.0,644.0,36.0,746.0,1081.0,ZCTA5 55732,55732
18563,41.1,4776.0,93.0,74692.0,28894.0,2488.0,100.0,894.0,1487.0,ZCTA5 55733,55733
18564,46.7,6007.0,838.0,48651.0,27818.0,2698.0,267.0,586.0,1075.0,ZCTA5 55734,55734
18565,51.1,1737.0,237.0,40433.0,24278.0,724.0,63.0,689.0,1125.0,ZCTA5 55735,55735
18566,51.1,1446.0,170.0,41250.0,23133.0,645.0,62.0,418.0,1035.0,ZCTA5 55736,55736
18567,53.4,502.0,37.0,62250.0,29719.0,266.0,11.0,1063.0,1250.0,ZCTA5 55738,55738
18568,51.3,3428.0,259.0,52762.0,28273.0,1621.0,54.0,568.0,921.0,ZCTA5 55741,55741
18569,50.8,405.0,10.0,65417.0,32209.0,177.0,20.0,-666666666.0,974.0,ZCTA5 55742,55742
18570,45.2,20100.0,2894.0,49439.0,25559.0,9175.0,324.0,624.0,1184.0,ZCTA5 55744,55744
18571,41.8,17039.0,2952.0,42913.0,24511.0,7172.0,577.0,574.0,980.0,ZCTA5 55746,55746
18572,44.7,1356.0,161.0,43527.0,24472.0,549.0,74.0,571.0,1058.0,ZCTA5 55748,55748
18573,50.4,440.0,18.0,59625.0,29425.0,223.0,9.0,1000.0,1327.0,ZCTA5 55749,55749
18574,51.2,2085.0,164.0,50102.0,25672.0,786.0,71.0,767.0,811.0,ZCTA5 55750,55750
18575,46.5,1578.0,82.0,61776.0,28297.0,742.0,28.0,875.0,1242.0,ZCTA5 55751,55751
18576,58.8,356.0,20.0,50417.0,28422.0,173.0,2.0,-666666666.0,1150.0,ZCTA5 55752,55752
18577,44.1,964.0,193.0,41083.0,22292.0,393.0,40.0,914.0,637.0,ZCTA5 55753,55753
